datetime,tempmax,tempmin,windspeed,cloudcover
2021-01-01,5,-0.5,10.1,98.4
2021-01-02,5.1,1.5,11.9,83
2021-01-03,6,1.1,16.9,90.3
2021-01-04,5.6,3.5,25.8,81.9
2021-01-05,4.6,2.5,21.2,78
2021-01-06,5.6,2,17.5,68.1
2021-01-07,3.1,-1,12.6,76.2
2021-01-08,2.5,-1,8.4,95.4
2021-01-09,4.5,-1.2,9.8,72.5
2021-01-10,3.6,-1.7,11.3,99.1
2021-01-11,9,3.6,33.2,94.7
2021-01-12,9.5,2.5,27.7,83.6
2021-01-13,9.6,1.1,19,93.9
2021-01-14,9.1,2.6,16,94.4
2021-01-15,4.1,1.1,13.2,62.4
2021-01-16,7.2,1.6,22.4,88.8
2021-01-17,8,3.1,19.6,60.9
2021-01-18,8.6,2.5,24.9,64.8
2021-01-19,11.6,9.1,31.7,93.7
2021-01-20,10.6,9.3,33.2,94.5
2021-01-21,8.8,4.3,0.3,50.8
2021-01-22,7.1,0.5,16.2,29.2
2021-01-23,4.5,-0.2,15.3,57.9
2021-01-24,2,-2,13.9,71.3
2021-01-25,5.1,-1.2,17.6,19.9
2021-01-26,6.6,-0.5,21.9,70.4
2021-01-27,9.6,6.6,12.2,93.7
2021-01-28,13,8.6,29.8,89.3
2021-01-29,11.1,7.2,28.9,77.2
2021-01-30,8,3.6,28.1,94.7
2021-01-31,4.1,1.6,19.8,69.7
2021-02-01,4.6,3.6,11.6,99.6
2021-02-02,13.1,4,24.2,87
2021-02-03,10.5,6.1,23,69.4
2021-02-04,9.1,4,15,69.9
2021-02-05,11.1,6.5,15.7,72.3
2021-02-06,8.1,5,18.6,86.4
2021-02-07,4.5,-0.5,26.7,89.7
2021-02-08,-0.2,-1.5,26.6,89.8
2021-02-09,0.6,-1,22.7,89.7
2021-02-10,2,-1.7,26.3,58
2021-02-11,0.3,-2.9,31.3,80
2021-02-12,1,-1.4,36,93.2
2021-02-13,1.6,-4,27.4,71.9
2021-02-14,4.6,1.1,24.5,78.4
2021-02-15,12.6,4.6,20.5,89.9
2021-02-16,10.5,7.6,23.7,74.7
2021-02-17,11.5,7.6,27.7,86.7
2021-02-18,11.1,6,27.4,39.7
2021-02-19,12,5.5,27.2,60.7
2021-02-20,15.5,11.6,24.1,79
2021-02-21,14.1,10.5,20.1,72.5
2021-02-22,11.5,8.1,13,78.1
2021-02-23,14,6.1,34,67.1
2021-02-24,16,11.5,26.1,56.9
2021-02-25,13,8,21.2,66.5
2021-02-26,12.6,1.6,12.3,3.9
2021-02-27,13,2,10.7,6.7
2021-02-28,10,4,16,37.8
2021-03-01,10.1,4.6,18.1,71.3
2021-03-02,9,4.5,11.9,69.2
2021-03-03,8.1,4.1,8.4,94
2021-03-04,6.2,4.5,14.8,96.9
2021-03-05,6.5,2.5,19.7,79.4
2021-03-06,6.1,3,14.6,86.1
2021-03-07,6.6,1.6,10.3,59.8
2021-03-08,10,0,11.2,62.1
2021-03-09,13.6,3.1,20.1,38.1
2021-03-10,11.1,6.6,32.9,90.5
2021-03-11,12.1,6,44.2,62
2021-03-12,11.1,5,35.2,55.9
2021-03-13,10.6,4.6,41,64.9
